Offset,New
2996,0
2997,0
2998,0
2999,0
103256,125
103257,4
426084,0
427376,0
427416,0
427698,1
1010679,254
1010703,248
1010727,248
1010751,248
1010775,248
1010799,248
1010823,254
1010847,252
1010871,254
1010895,254
1010919,254
1010943,254
1010967,254
1010991,254
1011015,254
1011039,254
1011063,254
1011087,254
1011111,254
1011135,254
1011159,254
1011183,254
1011207,254
1011231,254
1011255,254
1011279,254
1011303,254
1011327,254
1011351,254
1011375,254
1011399,254
1011423,254
1011447,254
1011471,254
1011495,254
1011519,254
1011543,254
1011567,254
1011591,254
1011615,254
1011639,254
1011663,254
1011687,254
1011711,254
1011735,254
1011759,254
1011783,254
1011807,254
1011831,254
1011855,254
1011879,254
1011903,254
1011927,254
1011951,254
1011975,254
1011999,254
1012023,254
1012047,254
1012071,254
1012095,254
1012119,254
1012143,252
1012167,252
1012191,252
1012215,252
1012239,252
1012263,252
1012287,254
1012311,252
1012335,252
1012359,252
1012383,252
1012407,252
1012431,254
1012455,254
1012479,254
1012503,254
1012527,254
1012551,254
1012575,252
1012599,252
1012623,252
1012647,248
1012671,252
1012695,252
1012719,252
1012743,252
1012767,254
1012791,254
1012815,254
1012839,254
1012863,254
1012887,254
1012911,254
1012935,254
1012959,254
1012983,254
1013007,254
1013031,254
1013055,254
1013079,254
1013103,254
1013127,254
1013151,254
1013175,254
1013199,248
1013223,254
1013247,254
1013271,254
1013295,254
1013319,252
1013343,252
1013367,252
1013391,254
1013415,254
1013439,252
1013463,252
1013487,254
1013511,252
1013535,254
1013559,254
1013583,254
1013607,254
1013631,254
1013655,254
1013679,254
1013703,254
1013727,252
1013751,252
1013775,252
1013799,252
1013823,252
1013847,254
1013871,252
1013895,254
1013919,252
1013943,252
1013967,252
1013991,252
1014015,252
1014039,252
1014063,252
1014087,254
1014111,252
1014135,252
1014159,254
1014183,254
1014207,254
1014231,248
1014255,254
1014279,252
1014303,254
1014327,254
1014351,254
1014375,254
1014399,252
1014423,252
1014447,252
1014471,252
1014495,252
1014519,252
1014543,248
1014567,252
1014591,252
1014615,252
1014639,252
1014663,252
1014687,252
1014711,252
1014735,252
1014759,252
1014783,254
1014807,254
1014831,252
1014855,254
1014879,248
1014903,254
1014927,254
1014951,254
1014975,254
1014999,252
1015023,254
1015047,252
1015071,252
1015095,252
1015119,252
1015143,252
1015167,252
1015191,252
1015215,252
1015239,252
1015263,252
1015287,252
1015311,252
1015335,252
1015359,252
1015383,252
1015407,252
1015431,252
1015455,252
1015479,252
1015503,252
1015527,252
1015551,252
1015575,252
1015599,252
1015623,252
1015647,252
1015671,252
1015695,252
1015719,252
1015743,252
1015767,252
1015791,252
1015815,252
1015839,252
1015863,252
1015887,252
1015911,248
1015935,252
1015959,252
1015983,252
1016007,252
1016031,252
1016055,252
1016079,252
1016103,252
1016127,252
1016151,252
1016175,252
1016199,252
1016223,252
1016247,252
1016271,252
1016295,252
1016319,252
1016343,252
1016367,254
1016391,254
1016415,254
1016439,252
1016463,252
1016487,254
1016511,254
1016535,252
1016559,254
1016583,252
1016607,252
1016631,252
1016655,252
1016679,254
1016703,254
1016727,254
1016751,254
1016775,252
1016799,252
1016823,252
1016847,252
1016871,252
1016895,252
1016919,252
1016943,252
1016967,252
1016991,252
1017015,252
1017039,252
1017063,252
1017087,248
1017111,248
1017135,248
1017159,248
1017183,252
1017207,254
1017231,252
1017255,248
1017279,252
1017303,252
1017327,252
1017351,252
1017375,254
1017399,254
1017423,252
1017447,252
1017471,252
1017495,252
1017519,252
1017543,252
1017567,252
1017591,252
1017615,252
1017639,252
1017663,252
1017687,252
1017711,252
1017735,252
1017759,252
1017783,252
1017807,252
1017831,254
1017855,254
1017879,252
1017903,252
1017927,252
1017951,252
1017975,252
1017999,253
1018023,252
1018047,252
1018071,252
1018095,252
1018119,252
1018143,252
1018167,252
1018191,252
1018215,252
1018239,252
1018263,252
1018287,252
1018311,252
1018335,252
1018359,252
1018383,252
1018407,252
1018431,252
1018455,252
1018479,252
1018503,252
1018527,252
1018551,252
1018575,252
1018599,252
1018623,252
1018647,252
1018671,252
1018695,252
1018719,252
1018743,252
1018767,252
1018791,252
1018815,252
1018839,252
1018863,252
1018887,254
1018911,248
1018935,248
1018959,248
1018983,248
1019007,248
1019031,248
1019055,248
1019079,248
1019103,248
1019127,248
1019151,248
1019175,248
1019199,248
1019223,248
1019247,254
1019271,252
1019295,252
1019319,252
1019343,252
1019367,252
1019391,252
1019415,252
1019439,252
1019463,254
1019487,252
1019511,252
1019535,252
1019559,252
1019583,252
1019607,252
1019631,252
1019655,252
1019679,252
1019703,252
1019727,252
1019751,252
1019775,252
1019799,252
1019823,252
1019847,252
1019871,252
1019895,252
1019919,252
1019943,252
1019967,252
1019991,254
1020015,254
1020039,254
1020063,254
1020087,254
1020111,252
1020135,252
1020159,252
1020183,252
1020207,252
1020231,252
1020255,252
1020279,252
1020303,252
1020327,252
1020351,252
1020375,252
1020399,252
1020423,252
1020447,252
1020471,252
1020495,252
1020519,252
1020543,250
1020567,252
1020591,252
1020615,254
1020639,252
1020663,254
1020687,252
1020711,254
1020735,254
1020759,254
1020783,254
1020807,254
1020831,254
1020855,254
1020879,254
1020903,252
1020927,252
1020951,252
1020975,252
1020999,252
1021023,252
1021047,252
1021071,252
1021095,252
1021119,252
1021143,252
1021167,252
1021191,252
1021215,252
1021239,252
1021263,252
1021287,252
1021311,252
1021335,252
1021359,252
1021383,252
1021407,252
1021431,254
1021455,254
1021479,254
1021503,254
1021527,254
1021551,254
1021575,254
1021599,254
1021623,254
1021647,252
1021671,248
1021695,252
1021719,254
1021743,254
1021767,254
1021791,254
1021815,254
1021839,252
1021863,252
1021887,252
1021911,248
1021935,254
1021959,254
1021983,252
1022007,252
1022031,252
1022055,252
1022079,252
1022103,252
1022127,252
1022151,252
1022175,252
1022199,252
1022223,252
1022247,252
1022271,252
1022295,252
1022319,252
1022343,254
1022367,252
1022391,254
1022415,252
1022439,252
1022463,252
1022487,252
1022511,254
1022535,252
1022559,252
1022583,252
1022607,252
1022631,252
1022655,252
1022679,252
1022703,252
1022727,252
1022751,252
1022775,252
1022799,252
1022823,252
1022847,252
1022871,252
1022895,252
1022919,252
1022943,252
1022967,252
1022991,254
1023015,252
1023039,252
1023063,252
1023087,252
1023111,252
1023135,252
1023159,252
1023183,252
1023207,252
1023231,252
1023255,252
1023279,252
1023303,252
1023327,254
1023351,252
1023375,252
1023399,252
1023423,252
1023447,254
1023471,252
1023495,252
1023519,252
1023543,252
1023567,252
1023591,248
1023615,252
1034024,49
1034028,49
1034029,101
1034032,49
1034033,101
1034036,49
1034040,49
1034041,101
1034044,49
1034048,49
1034049,101
1034052,49
1034053,101
1034100,0
1034101,0
1034102,0
1034103,0
1034104,0
1034105,0
1034106,0
1034107,0
1034120,0
1034121,0
1034122,0
1034123,0
1034124,0
1034125,0
1034126,0
1034127,0
1122040,33
1122041,6
1122042,192
1122043,222
1122044,160
1122045,11
